[Tue 05/23/17 16:31:44 <Sonlight> ] Item Error: Item appears to be in log already (Jewel, Database Error[4])
[Tue 05/23/17 16:53:19 <Sonlight> ] Item Error: Item appears to be in log already (Amulet, Gem[4])
[Tue 05/23/17 16:53:30 <Sonlight> ] Item Error: Item appears to be in log already (Amulet, Gem[4])
[Tue 05/23/17 16:58:08 <Sonlight> ] Item Error: Item appears to be in log already (Amulet, Gem[4])
[Tue 05/23/17 16:58:12 <Sonlight> ] Item Error: Item appears to be in log already (Amulet, Gem[4])
[Tue 05/23/17 17:05:42 <Sonlight> ] Item Error: Item appears to be in log already (Amulet, Gem[4])
[Sun 05/28/17 23:32:25 <Sonlight> ] Item Error: Item appears to be in log already (Key of Hate, Key Of Hate[2])
[Mon 05/29/17 00:52:36 <Sonlight> ] Item Error: Item appears to be in log already (Key of Hate, Key Of Hate[2])
[Mon 05/29/17 04:56:48 <Sonlight> ] Item Error: Item appears to be in log already (Key of Hate, Key Of Hate[2])
[Mon 05/29/17 07:22:09 <Sonlight> ] Item Error: Item appears to be in log already (Scroll of Town Portal, Gem[2])
[Mon 05/29/17 15:43:14 <Sonlight> ] Item Error: Item appears to be in log already (Key of Destruction, Key Of Destruction[2])
[Mon 05/29/17 15:52:52 <Sonlight> ] Item Error: Item appears to be in log already (Key of Hate, Key Of Hate[2])
[Mon 05/29/17 21:05:35 <Sonlight> ] Item Error: Item appears to be in log already (Key of Hate, Key Of Hate[2])
[Mon 05/29/17 22:41:12 <Sonlight> ] Item Error: Item appears to be in log already (Key of Destruction, Key Of Destruction[2])
[Tue 05/30/17 03:04:28 <Sonlight> ] Item Error: Item appears to be in log already (Key of Destruction, Key Of Destruction[2])
[Tue 05/30/17 04:45:07 <Sonlight> ] Item Error: Item appears to be in log already (Key of Destruction, Key Of Destruction[2])
[Tue 05/30/17 08:45:15 <Sonlight> ] Item Error: Item appears to be in log already (Key of Hate, Key Of Hate[2])
[Tue 05/30/17 13:38:51 <Sonlight> ] Item Error: Item appears to be in log already (Key of Hate, Key Of Hate[2])
[Tue 05/30/17 20:54:48 <Sonlight> ] Item Error: Item appears to be in log already (Scroll of Town Portal, Gem[2])
[Tue 05/30/17 20:54:49 <Sonlight> ] Item Error: Item appears to be in log already (Scroll of Town Portal, Gem[2])
[Wed 05/31/17 04:08:53 <Sonlight> ] Item Error: Item appears to be in log already (Key of Destruction, Key Of Destruction[2])
[Wed 05/31/17 04:58:38 <Sonlight> ] Item Error: Item appears to be in log already (Key of Hate, Key Of Hate[2])
[Wed 05/31/17 07:43:21 <Sonlight> ] Item Error: Item appears to be in log already (Key of Hate, Key Of Hate[2])
[Wed 05/31/17 11:15:58 <Sonlight> ] Item Error: Item appears to be in log already (Key of Hate, Key Of Hate[2])
[Thu 06/01/17 08:15:01 <Sonlight> ] Item Error: Item appears to be in log already (Scroll of Town Portal, Gem[2])
[Thu 06/01/17 09:25:14 <Sonlight> ] Item Error: Item appears to be in log already (Key of Destruction, Key Of Destruction[2])
[Thu 06/01/17 11:15:22 <Sonlight> ] Item Error: Item appears to be in log already (Key of Hate, Key Of Hate[2])
[Fri 06/02/17 02:39:46 <Sonlight> ] Item Error: Item appears to be in log already (Key of Hate, Key Of Hate[2])
[Fri 06/02/17 07:16:54 <Sonlight> ] Item Error: Item appears to be in log already (Scroll of Town Portal, Gem[2])
